time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1751119525837378800,385.56237890625,-0.8332008123397827,0.12880490720272064,0.4914841949939728,0.21803510189056396,1.0658875703811646,0.0003190934658050537,2.6294713020324707
1751119525847324000,385.5723239746094,-0.8332008123397827,0.12880489230155945,0.49148422479629517,0.2180350124835968,1.065887689590454,0.00031913816928863525,2.62947154045105
1751119525857269000,385.58226904296873,-0.8332007527351379,0.12880487740039825,0.49148422479629517,0.21803495287895203,1.0658875703811646,0.00031916797161102295,2.62947154045105
1751119525867214000,385.59221411132813,-0.8332006931304932,0.12880484759807587,0.49148425459861755,0.21803486347198486,1.0658875703811646,0.00031916797161102295,2.62947154045105
1751119525877159200,385.6021591796875,-0.8332007527351379,0.12880483269691467,0.49148428440093994,0.21803483366966248,1.065887689590454,0.0003191828727722168,2.629471778869629
1751119525887104300,385.6121042480469,-0.8332006931304932,0.12880480289459229,0.49148428440093994,0.2180347740650177,1.065887689590454,0.00031916797161102295,2.629471778869629
1751119525897049300,385.6220493164063,-0.8332006931304932,0.1288047879934311,0.49148431420326233,0.21803468465805054,1.065887689590454,0.00031922757625579834,2.629472017288208
1751119525906994400,385.6319943847656,-0.8332006335258484,0.1288047581911087,0.4914843440055847,0.21803465485572815,1.065887689590454,0.00031916797161102295,2.629472017288208
1751119525916939800,385.6419396972656,-0.8332008123397827,0.12880457937717438,0.4914843738079071,0.21803417801856995,1.065887689590454,0.0003193765878677368,2.6294732093811035
1751119525926884900,385.651884765625,-0.8332008123397827,0.12880456447601318,0.4914844036102295,0.21803411841392517,1.065887689590454,0.0003194063901901245,2.6294732093811035
1751119525936830000,385.66182983398437,-0.8332006931304932,0.1288045346736908,0.4914844036102295,0.218034029006958,1.065887689590454,0.0003194063901901245,2.6294732093811035
1751119525946775000,385.6717751464844,-0.8332006931304932,0.1288045197725296,0.4914844334125519,0.21803399920463562,1.065887689590454,0.0003194063901901245,2.6294734477996826
1751119525956720000,385.6817202148437,-0.8332006931304932,0.12880446016788483,0.49148446321487427,0.21803390979766846,1.065887689590454,0.0003193765878677368,2.6294734477996826
1751119525966665200,385.6916652832031,-0.8332006931304932,0.12880444526672363,0.49148446321487427,0.2180338203907013,1.065887689590454,0.0003194361925125122,2.6294736862182617
1751119525976610300,385.7016103515625,-0.8332006931304932,0.12880444526672363,0.49148446321487427,0.2180337905883789,1.065887689590454,0.0003194659948348999,2.6294736862182617
1751119525986555400,385.71155541992186,-0.8332006931304932,0.12880443036556244,0.49148449301719666,0.21803367137908936,1.0658878087997437,0.000319555401802063,2.629473924636841
1751119525996500500,385.72150048828127,-0.8332008719444275,0.12880422174930573,0.49148452281951904,0.21803319454193115,1.065887689590454,0.0003196895122528076,2.6294751167297363
1751119526006445600,385.7314455566406,-0.833200991153717,0.1288040578365326,0.4914845824241638,0.21803268790245056,1.0658878087997437,0.0003199279308319092,2.6294760704040527
1751119526016390700,385.741390625,-0.8332010507583618,0.12880389392375946,0.4914846122264862,0.21803218126296997,1.065887689590454,0.0003201514482498169,2.629477024078369
1751119526026335700,385.75133569335935,-0.8332011103630066,0.12880387902259827,0.4914846420288086,0.2180321216583252,1.0658878087997437,0.00032019615173339844,2.6294772624969482
1751119526036280800,385.76128076171875,-0.8332010507583618,0.12880384922027588,0.4914846420288086,0.21803203225135803,1.065887689590454,0.0003202110528945923,2.6294772624969482
1751119526046226000,385.77122583007815,-0.8332010507583618,0.12880383431911469,0.491484671831131,0.21803200244903564,1.0658878087997437,0.0003202110528945923,2.6294775009155273
1751119526056171000,385.7811708984375,-0.8332010507583618,0.1288038194179535,0.49148470163345337,0.21803194284439087,1.0658878087997437,0.00032022595405578613,2.6294775009155273
1751119526066116000,385.7911162109375,-0.833200991153717,0.1288037896156311,0.49148470163345337,0.2180318534374237,1.0658878087997437,0.00032024085521698,2.6294777393341064
1751119526076061400,385.8010615234375,-0.8332009315490723,0.1288037747144699,0.49148473143577576,0.21803176403045654,1.0658878087997437,0.0003202855587005615,2.6294777393341064
1751119526086006500,385.81100659179685,-0.8332009315490723,0.12880374491214752,0.49148476123809814,0.21803173422813416,1.0658878087997437,0.00032025575637817383,2.6294777393341064
1751119526095952000,385.82095190429686,-0.8332009315490723,0.12880373001098633,0.49148476123809814,0.21803167462348938,1.0658878087997437,0.0003202855587005615,2.6294779777526855
1751119526105897500,385.8308974609375,-0.8332009315490723,0.12880371510982513,0.49148479104042053,0.21803158521652222,1.0658879280090332,0.0003203451633453369,2.6294782161712646
1751119526115843000,385.84084301757815,-0.8332008719444275,0.12880368530750275,0.4914848208427429,0.21803155541419983,1.0658879280090332,0.0003202855587005615,2.6294782161712646
1751119526125788200,385.8507880859375,-0.8332009315490723,0.12880367040634155,0.4914848208427429,0.21803149580955505,1.0658879280090332,0.0003203451633453369,2.6294782161712646
